,Sr_No,FIR_No,IPC,Date_of_offence,Date_of_FIR,Police_station,Day,Time_of_offence,First_vehicle,Fatalities,Serious,Minor,Second_vehicle,Fatalities_1,Serious_1,Minor_1,Type_of_collision,Hit_and_run,Intersection_mid_block,Maneuver_type,Place_of_occurence,Total_Fatalities,Total_serious,Total_minor,Latitude,Longitude,Road_name,Road_number,Rural_urban,geo
143,144,9,"279, 337, 338 ",01/25/2017,2017-02-10,Singh Bhagwantpura ,1900-01-04,16:30:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Sideswipe ,1,Intersection,Over Speeding,Solkhiya,0,1,0,30.898923,76.548158,NH,NH-205,Rural,"30.898923,76.548158"
144,145,13,"279,337 ,427 ,304-A",02/12/2017,2017-02-23,Singh Bhagwantpura ,1900-01-01,16:00:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Sideswipe ,1,Intersection,Over Speeding,Bhago Majra ,1,0,0,30.853085,76.564034,NH,NH-205,Rural,"30.853085,76.564034"
145,146,15,"279, 337",02/23/2017,2017-03-01,Singh Bhagwantpura ,1900-01-05,19:30:00,Car/Jeep/Van,0,0,0,Pedestrian,0,1,0,Hit Pedestrian,0,Intersection,Over Speeding,Bann Majra,0,1,0,30.874823,76.556444,NH,NH-205,Rural,"30.874823,76.556444"
146,147,19,"279, 337, 427, 304-A",03/10/2017,2017-03-10,Singh Bhagwantpura ,1900-01-06,03:00:00,Car/Jeep/Van,0,0,0,Car/Jeep/Van,1,0,0,Sideswipe ,1,Intersection,Over Speeding,Mugal Majri,1,0,0,30.865571,76.548904,Link Road,Link Road,Rural,"30.865571,76.548904"
147,148,26,"279, 337, 427,",03/20/2017,2017-03-22,Singh Bhagwantpura ,1900-01-02,21:40:00,Unknown,0,0,0,Cyclist,0,1,0,Hit and Run,1,Mid Block,Over Speeding,Dhiyanpura,0,1,0,30.824883,76.555903,Link Road,Link Road,Rural,"30.824883,76.555903"
148,149,33,"279, 304-A ",04/27/2017,2017-04-27,Singh Bhagwantpura ,1900-01-05,08:00:00,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,1,Mid Block,Over Speeding,Kalal Majra ,1,0,0,30.860234,76.609504,Link Road,Link Road,Rural,"30.860234,76.609504"
149,150,34,"279, 337, 338 ",05/03/2017,2017-05-05,Singh Bhagwantpura ,1900-01-04,21:15:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,2,0,Sideswipe ,1,Intersection,Over Speeding,Pipli chowk ,0,2,0,30.872806,76.591839,Link Road,Link Road,Rural,"30.872806,76.591839"
150,151,43,"279, 337, 427,",05/03/2017,2017-05-31,Singh Bhagwantpura ,1900-01-04,12:45:00,Bus/Truck,0,0,0,Two Wheeler,0,2,0,Hit from Back,0,Intersection,Over Speeding,Solkhiya,0,2,0,30.895971,76.534884,Link Road,Link Road,Rural,"30.895971,76.534884"
151,152,46,"279,304-A,337,427",06/08/2017,2017-06-09,Singh Bhagwantpura ,1900-01-05,18:05:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Hit from Back,1,Intersection,Over Speeding,Rangilpur,1,0,0,30.919631,76.542858,NH,NH-205,Rural,"30.919631,76.542858"
152,153,51,"279,304-A",06/28/2017,2017-06-28,Singh Bhagwantpura ,1900-01-04,17:45:00,Bus/Truck,0,0,0,Cyclist,1,0,0,Hit Cyclist,1,Intersection,Over Speeding,Bann Majra,1,0,0,30.852979,76.563058,Link Road,Link Road,Rural,"30.852979,76.563058"
153,154,56,"279,337,427,",07/17/2017,2017-07-18,Singh Bhagwantpura ,1900-01-02,06:30:00,Bus/Truck,0,0,0,Bus/Truck,0,0,1,Head on,0,Intersection,Rough Driving,Solkhiya,0,0,1,30.908817,76.545162,NH,NH-205,Rural,"30.908817,76.545162"
154,155,59,"279,337,427,",07/22/2017,2017-08-10,Singh Bhagwantpura ,1900-01-07,18:45:00,Bus/Truck,0,0,0,Cyclist,0,0,1,Hit from Back,1,Intersection,Over Speeding,"Near Bhrampur Zimidara ,Ropar",0,0,1,30.910055,76.543271,NH,NH-205,Rural,"30.910055,76.543271"
155,156,65,"279,304-A",09/09/2017,2017-09-16,Singh Bhagwantpura ,1900-01-07,14:00:00,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,1,Mid Block,Over Speeding,Bhiora ,1,0,0,30.935179,76.538971,NH,NH-205,Rural,"30.935179,76.538971"
156,157,67,"279,304-A",09/25/2017,2017-09-26,Singh Bhagwantpura ,1900-01-02,16:00:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Sideswipe ,1,Intersection,Over Speeding,Solkhiya,1,0,0,30.896509,76.534381,Link Road,Link Road,Rural,"30.896509000000002,76.534381"
157,158,71,"279,304-A,427",10/13/2017,2017-10-14,Singh Bhagwantpura ,1900-01-06,19:30:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Hit from Back,1,Intersection,Over Speeding,"Bhrampur Zimidara ,Ropar",1,0,0,30.909241,76.530021,Link Road,Link Road,Rural,"30.909241,76.530021"
158,159,72,"279,304-A,428",09/25/2017,2017-10-15,Singh Bhagwantpura ,1900-01-02,18:45:00,Two Wheeler,0,0,1,Cyclist,1,0,0,Hit from Back,0,Mid Block,Over Speeding,Chatamli,1,0,1,30.814873,76.554848,Link Road,Link Road,Rural,"30.814873,76.554848"
159,160,77,"279,337 ,427 ,304-A",11/05/2017,2017-11-06,Singh Bhagwantpura ,1900-01-01,18:15:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Sideswipe ,1,Intersection,Over Speeding,Bhadali ,1,0,0,30.831177,76.552129,Link Road,Link Road,Rural,"30.831177,76.552129"
160,161,82,"279,304-A",12/12/2017,2017-12-12,Singh Bhagwantpura ,1900-01-03,04:00:00,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,1,Intersection,Over Speeding,Khabra ,1,0,0,30.890034,76.542187,Link Road,Link Road,Rural,"30.890034,76.542187"
161,162,2,"279,304-A,427",12/30/2017,2018-01-16,Singh Bhagwantpura ,1900-01-07,19:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Hit from Back,1,Intersection,Over Speeding,Bann Majra,1,0,0,30.852745,76.560126,Link Road,Link Road,Rural,"30.852745,76.560126"
162,163,2,"279, 304-A ",09/01/2017,2017-10-01,Anandpur Sahib ,1900-01-06,19:45:00,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,village Rampur jajur ,1,0,0,31.2889504,76.4294946,SH,SH-22,Rural,"31.2889504,76.4294946"
163,164,5,"279, 337, 338,427",01/18/2017,2017-01-18,Anandpur Sahib ,1900-01-04,13:50:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,2,Head on,0,Intersection,Over Speeding,Main Road Ganguwal Morh,0,1,2,31.2553875,76.4734989,SH,SH-22,Rural,"31.2553875,76.4734989"
164,165,9,"283,304-A, 337, 427",03/02/2017,2017-04-02,Anandpur Sahib ,1900-01-05,17:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,1,0,Head on,0,Intersection,Over Speeding,near village Nangali ,1,1,0,31.3002506,76.4226751,SH,SH-22,Rural,"31.3002506,76.4226751"
165,166,16,"279, 337, 427",02/14/2017,2017-02-15,Anandpur Sahib ,1900-01-03,11:30:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Head on,0,Intersection,Over Speeding,T Point Gambherpur G.T Road ,0,1,0,31.273425,76.441111,SH,SH-22,Rural,"31.273425,76.441111"
166,167,17,"279,304-A,427",01/30/2017,2017-02-15,Anandpur Sahib ,1900-01-02,15:00:00,Two Wheeler,0,0,0,Two Wheeler,1,0,0,Hit From Back,0,Intersection,Over Speeding,T Point matour ,1,0,0,31.2131941,76.5421397,SH,SH-22,Rural,"31.2131941,76.5421397"
167,168,18,"279, 304-A ,427,337",02/21/2017,2017-02-21,Anandpur Sahib ,1900-01-03,11:30:00,Bus/Truck,0,0,0,Two Wheeler,1,0,1,Hit From Back,0,Mid Block,Over Speeding,Bhupnali petrol pump front village Nanagli ,1,0,1,31.2941334,76.4254832,SH,SH-22,Rural,"31.2941334,76.4254832"
168,169,21,"279, 337, 338",02/23/2017,2017-02-26,Anandpur Sahib ,1900-01-05,23:30:00,Bus/Truck,0,0,0,Bus/Truck,0,0,1,Head on Tail,0,Intersection,Over Speeding,Agampur chowk ,0,0,1,31.239036,76.489517,SH,SH-22,Rural,"31.239036,76.489517"
169,170,24,"279, 337,427",02/28/2017,2017-05-03,Anandpur Sahib ,1900-01-03,20:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,0,1,Head on,0,Intersection,Over Speeding,village agampur ,0,0,1,31.239036,76.489517,SH,SH-22,Rural,"31.239036,76.489517"
170,171,32,"279, 304-A ,",03/25/2017,2018-03-27,Anandpur Sahib ,1900-01-07,10:30:00,Unknown,0,0,0,Pedestrian,1,0,0,Hit Fixed Object,0,Intersection,Over Speeding,Near railway  coloney anandpur sahib ,1,0,0,31.2334759,76.498481,SH,SH-22,Urban,"31.2334759,76.498481"
171,172,38,"279, 337, 427",09/04/2017,2017-10-04,Anandpur Sahib ,1900-01-02,20:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,3,Head on,0,Intersection,Over Speeding,village magewal ,0,1,3,31.256008,76.474347,SH,SH-22,Rural,"31.256008,76.474347"
172,173,63,"279, 304-A,427",07/17/2017,2017-07-17,Anandpur Sahib ,1900-01-02,19:15:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Head on,0,Mid Block,Over Speeding,village Dasgrai,1,0,0,31.278111,76.436433,SH,SH-22,Rural,"31.278111,76.436433"
173,174,66,"279, 337,338, 427",07/23/2017,2017-07-23,Anandpur Sahib ,1900-01-01,03:00:00,Bus/Truck,0,0,0,Car/Jeep/Van,0,5,10,Hit From Back,0,Intersection,Over Speeding,ravi dass chowk anandpur sahib ,0,5,10,31.2371496,76.4933585,SH,SH-22,Urban,"31.2371496,76.4933585"
174,175,68,"279, 337 ,427",07/24/2017,2017-07-24,Anandpur Sahib ,1900-01-02,23:30:00,Bus/Truck,0,0,0,Car/Jeep/Van,0,0,1,Hit From Back,0,Intersection,Over Speeding,Near railway satation Anandpur Sahib ,0,0,1,31.2334759,76.4984181,SH,SH-22,Urban,"31.2334759,76.4984181"
175,176,70,"279, 337, 304-A, 427",07/31/2017,2017-07-31,Anandpur Sahib ,1900-01-02,11:00:00,Bus/Truck,0,0,0,Two Wheeler,1,0,1,Hit From Back,0,Intersection,Over Speeding,main road village kotla ,1,0,1,31.2095093,76.5468955,SH,SH-22,Rural,"31.2095093,76.5468955"
176,177,74,"279, 304-A ,337,427",11/08/2017,2017-12-08,Anandpur Sahib ,1900-01-04,22:15:00,Car/Jeep/Van,0,0,0,Car/Jeep/Van,1,1,2,Head on,0,Mid Block,Over Speeding,main road vill. Behalu ,1,1,2,31.281442,76.434106,SH,SH-22,Rural,"31.281442,76.434106"
177,178,91,"279, 304-A, 427 ",09/14/2017,2017-09-28,Anandpur Sahib ,1900-01-05,13:00:00,Two Wheeler,0,0,0,Two Wheeler,1,0,1,Head on,0,Intersection,Over Speeding,near Ganguwal Morh ,1,0,1,31.2553875,76.4734989,SH,SH-22,Rural,"31.2553875,76.4734989"
178,179,97,"279, 304-A ,337",03/10/2017,2017-04-10,Anandpur Sahib ,1900-01-06,11:20:00,Unknown,0,0,0,Two Wheeler,1,0,1,Hit From Back,0,Intersection,Over Speeding,G.T Road Anandpur Sahib ,1,0,1,31.2371496,76.4933585,SH,SH-22,Urban,"31.2371496,76.4933585"
179,180,98,"279, 304-A, 427",04/10/2017,2017-05-10,Anandpur Sahib ,1900-01-02,22:30:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Hit From Back,0,Mid Block,Over Speeding,near vill. Jindwari ,1,0,0,31.2999925,76.4933585,Link Road,Link Road,Rural,"31.2999925,76.4933585"
180,181,100,"279,304-A,427",07/10/2017,2017-08-07,Anandpur Sahib ,1900-01-02,17:30:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Hit From Back,0,Intersection,Over Speeding,main road vill. Agampur ,1,0,0,31.239036,76.489517,SH,SH-22,Rural,"31.239036,76.489517"
181,182,103,"279,304-A,337,427",10/13/2017,2017-10-13,Anandpur Sahib ,1900-01-06,22:00:00,Unknown,0,0,0,Two Wheeler,1,0,1,Head on,0,Intersection,Over Speeding,Chandesar morh vill. Sadewal ,1,0,1,31.2432739,76.4845757,SH,SH-22,Rural,"31.2432739,76.4845757"
182,183,109,"279,304-A",11/18/2017,2017-11-18,Anandpur Sahib ,1900-01-07,09:30:00,Unknown,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,main road vill. Magewal ,1,0,0,31.256008,76.474347,SH,SH-22,Rural,"31.256008,76.474347"
183,184,112,"279,337,304-A,427",11/28/2017,2017-11-28,Anandpur Sahib ,1900-01-03,02:30:00,Unknown,0,0,0,Bus/Truck,1,0,1,Head on,0,Mid Block,Over Speeding,main road vill. Dher ,1,0,1,31.263219,76.456406,SH,SH-22,Rural,"31.263219,76.456406"
184,185,128,"279,304-A,427 ",12/16/2017,2017-12-16,Anandpur Sahib ,1900-01-07,19:00:00,Two Wheeler,0,0,0,Two Wheeler,1,0,0,Head on,0,Intersection,Over Speeding,near pehlvan dhaba anandpur sahib ,1,0,0,31.239036,76.489517,SH,SH-22,Rural,"31.239036,76.489517"
185,186,132,279337338427,12/22/2017,2017-12-23,Anandpur Sahib ,1900-01-06,18:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,1,Hit From Back,0,Intersection,Over Speeding,near vill. Rampur jajjar,0,1,1,31.2889504,76.4294946,SH,SH-22,Urban,"31.2889504,76.4294946"
186,187,135,"279,304-A,427",12/27/2017,2017-12-28,Anandpur Sahib ,1900-01-04,21:15:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Hit From Back,0,Intersection,Over Speeding,near railway station main road anandpur sahib ,1,0,0,31.2334759,76.4984181,SH,SH-22,Rural,"31.2334759,76.4984181"
187,188,140,"279,337,304-A,427",12/31/2017,2017-12-31,Anandpur Sahib ,1900-01-01,18:45:00,Bus/Truck,0,0,0,Two Wheeler,2,1,1,Sideswipe ,0,Intersection,Over Speeding,main road vill. Dher ,2,1,1,31.269153,76.448028,SH,SH-22,Rural,"31.269153,76.448028"
188,189,11,279337427338,01/09/2017,2017-01-26,Nangal,1900-01-02,10:45:00,Bus/Truck,0,0,0,Car/Jeep/Van,0,1,0,Head on,0,Mid Block,Approaching from wrong side,ajouli,0,1,0,31.2885055,76.3253678,Link Road,Link Road,Rural,"31.2885055,76.3253678"
189,190,18,279337338427,02/06/2017,2017-02-14,Nangal,1900-01-02,19:30:00,Tractor-Trolley,0,0,0,Two Wheeler,0,2,0,Unknown,0,Mid Block,Over Speeding,khera kamlot,0,2,0,31.2885055,76.3253678,Link Road,Link Road,Rural,"31.2885055,76.3253678"
190,191,20,"279,304-A",02/23/2017,2017-02-24,Nangal,1900-01-05,19:15:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Unknown,0,Intersection,Over Speeding,patti,1,0,0,31.3404104,76.3961028,SH,SH-22,Rural,"31.3404104,76.3961028"
191,192,24,"279,337,304-A,427",03/01/2017,2017-03-01,Nangal,1900-01-04,12:50:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,1,0,Head on,0,Mid Block,Approaching from wrong side,ajouli,1,1,0,31.327151,76.406873,SH,SH-22,Rural,"31.327151,76.406873"
192,193,32,"279,304-A,427,337",03/20/2017,2017-03-20,Nangal,1900-01-02,08:35:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,1,0,Sideswipe ,0,Mid Block,Over Speeding,jandla,1,1,0,31.317205,76.413861,SH,SH-22,Rural,"31.317205,76.413861"
193,194,35,"279,304-A,427",03/25/2017,2017-03-26,Nangal,1900-01-07,21:30:00,Car/Jeep/Van,0,0,0,Cyclist,1,0,0,Hit Cyclist,0,Intersection,Over Speeding,naya nangal,1,0,0,31.378928,76.343867,SH,SH-25,Rural,"31.378928,76.343867"
194,195,40,"279,337,304-A,427",03/31/2017,2017-03-31,Nangal,1900-01-06,08:30:00,Unknown,0,0,0,Two Wheeler,1,2,0,Unknown,0,Mid Block,Over Speeding,Raipur,1,2,0,31.3842533,76.38856136,Muncipality Road,Muncipality Road,Urban,"31.3842533,76.38856136"
195,196,42,"279,337,304-A,427",04/05/2017,2017-04-05,Nangal,1900-01-04,06:10:00,Bus/Truck,0,0,0,Bus/Truck,1,11,0,Head on,0,Mid Block,Approaching from wrong side,daroli,1,11,0,31.3140644,76.04152704,Link Road,Link Road,Rural,"31.3140644,76.04152704"
196,197,46,"279,304-A",04/08/2017,2017-04-12,Nangal,1900-01-07,16:35:00,Two Wheeler,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Mid Block,Over Speeding,hambyal,1,0,0,31.3842533,76.3721895,Muncipality Road,Muncipality Road,Urban,"31.3842533,76.3721895"
197,198,47,"279,304-A,427",04/12/2017,2017-04-13,Nangal,1900-01-04,10:30:00,Bus/Truck,0,0,0,Cyclist,1,0,0,Hit Cyclist,0,Intersection,Over Speeding,patti,1,0,0,31.3404104,76.3961028,SH,SH-22,Rural,"31.3404104,76.3961028"
198,199,52,"279,304-A",04/26/2017,2017-04-29,Nangal,1900-01-04,10:00:00,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Mid Block,Over Speeding,nangal,1,0,0,31.3704492,76.3754854,SH,SH-22,Urban,"31.3704492,76.3754854"
199,200,54,"279,304,304-A,427",04/30/2017,2017-04-30,Nangal,1900-01-01,16:25:00,Bus/Truck,0,0,0,Two Wheeler,2,0,0,Hit from Back,0,Mid Block,Over Speeding,KALSHERA,2,0,0,31.3942273,76.3443724,SH,SH-25,Rural,"31.3942273,76.3443724"
200,201,94,279337338427,06/25/2017,2017-06-30,Nangal,1900-01-01,18:00:00,Bus/Truck,0,0,0,Two Wheeler,0,2,0,Hit from Side,0,Mid Block,Over Speeding,KALSHERA,0,2,0,31.3947743,76.3443724,SH,SH-25,Rural,"31.3947743,76.3443724"
201,202,97,"279,337,338,304-A",07/01/2017,2017-07-03,Nangal,1900-01-07,09:30:00,Unknown,0,0,0,Cyclist,1,0,0,Hit Cyclist,0,Mid Block,Over Speeding,daroli,1,0,0,31.40644,76.4152704,Link Road,Link Road,Rural,"31.40644,76.4152704"
202,203,98,"279,337,338,427,",07/05/2017,2017-07-07,Nangal,1900-01-04,18:20:00,Bus/Truck,0,0,0,Bus/Truck,0,1,0,Head on,0,Intersection,Approaching from wrong side,MP di kothi nangal,0,1,0,31.358311,76.381942,SH,SH-22,Urban,"31.358311,76.381942"
203,204,100,"279,337,338,427,304-A",07/10/2017,2017-07-11,Nangal,1900-01-02,21:30:00,Bus/Truck,0,0,0,Car/Jeep/Van,1,0,0,Head on,0,Mid Block,Approaching from wrong side,BRAHMPUR,1,0,0,31.3842533,76.3721895,Muncipality Road,Muncipality Road,Urban,"31.3842533,76.3721895"
204,205,109,279337338427,07/03/2017,2017-07-25,Nangal,1900-01-02,17:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Hit from Back,0,Mid Block,Over Speeding,nangal,0,1,0,31.3704442,76.3754854,SH,SH-22,Urban,"31.3704442,76.3754854"
205,206,112,279337338427,07/25/2017,2017-07-29,Nangal,1900-01-03,12:30:00,Bus/Truck,0,0,0,Two Wheeler,0,1,0,Head on,0,Mid Block,Approaching from wrong side,BHALLAN,0,1,0,31.2759781,76.3596499,SH,SH-22,Rural,"31.2759781,76.3596499"
206,207,116,"279,427,304-A",08/03/2017,2017-08-04,Nangal,1900-01-05,14:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Hit from Back,0,Intersection,Over Speeding,MP di kothi nangal,1,0,0,31.3583,76.381986,SH,SH-22,Urban,"31.3583,76.381986"
207,208,129,279338427,08/17/2017,2017-08-29,Nangal,1900-01-05,15:54:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Head on,0,Mid Block,Approaching from wrong side,BRAHMPUR,0,1,0,31.3842533,76.38856136,Muncipality Road,Muncipality Road,Urban,"31.3842533,76.38856136"
208,209,133,"279,304-A,337,427",09/05/2017,2017-09-05,Nangal,1900-01-03,12:30:00,Bus/Truck,0,0,0,Car/Jeep/Van,2,0,0,Hit from Side,0,Intersection,Over Speeding,naya nangal,2,0,0,31.378928,76.343867,SH,SH-25,Rural,"31.378928,76.343867"
209,210,138,279337338427,09/01/2017,2017-09-14,Nangal,1900-01-06,16:00:00,Two Wheeler,0,0,0,Car/Jeep/Van,0,1,0,Head on,0,Intersection,Approaching from wrong side,Raipur,0,1,0,31.3404104,76.3961028,SH,SH-22,Rural,"31.3404104,76.3961028"
210,211,140,"279,337,338,",08/18/2017,2017-09-16,Nangal,1900-01-06,09:30:00,Bus/Truck,0,0,0,Two Wheeler,0,1,0,Hit from Side,0,Intersection,Over Speeding,naya nangal,0,1,0,31.380086,76.363125,SH,SH-25,Rural,"31.380086,76.363125"
211,212,166,"279,304-A,427",11/08/2017,2017-11-08,Nangal,1900-01-04,06:20:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Hit from Back,0,Mid Block,Over Speeding,Raipur,1,0,0,31.3540074,76.3834434,SH,SH-22,Rural,"31.3540074,76.3834434"
212,213,171,"279,337,338,427,",11/13/2017,2017-11-15,Nangal,1900-01-02,14:40:00,Two Wheeler,0,0,0,Two Wheeler,0,2,0,Hit from Side,0,Mid Block,Over Speeding,BRAHMPUR,0,2,0,31.3842533,76.3721895,Muncipality Road,Muncipality Road,Urban,"31.3842533,76.3721895"
213,214,174,"279,337,338,427,304-A",11/17/2017,2017-11-18,Nangal,1900-01-06,18:03:00,Two Wheeler,0,0,0,Two Wheeler,1,1,0,Head on,0,Intersection,Over Speeding,badlari,1,1,0,31.3416963,76.3950177,SH,SH-22,Rural,"31.3416963,76.3950177"
214,215,181,279337338427,11/22/2017,2017-12-06,Nangal,1900-01-04,19:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,2,0,Head on,0,Intersection,Over Speeding,nangal,0,2,0,31.3933281,76.3814892,Muncipality Road,Muncipality Road,Urban,"31.3933281,76.3814892"
215,216,184,"279,304-A,427",12/17/2017,2017-12-18,Nangal,1900-01-01,00:00:00,Bus/Truck,0,0,0,Car/Jeep/Van,1,0,0,Head on,0,Mid Block,Over Speeding,daroli,1,0,0,31.24105,76.4164432,Link Road,Link Road,Rural,"31.24105,76.4164432"
216,217,185,279337338427,12/06/2017,2017-12-18,Nangal,1900-01-04,13:20:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Hit from Back,0,Intersection,Over Speeding,suksaal,0,1,0,31.406062,76.3427994,SH,SH-25,Rural,"31.406062,76.3427994"
